epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,3085.96,0.89914,0.64817,1.02971,0.92577,0.88674,0.9549,0.7647,0.76491,0.52052,0.97947,0.000154982,0.000154982,0.000154982
152,3160.07,0.90059,0.6498,1.02879,0.92802,0.88509,0.95509,0.76537,0.76466,0.52077,0.97935,0.000149527,0.000149527,0.000149527
153,3231,0.89727,0.64596,1.02693,0.92748,0.88459,0.95503,0.76532,0.76411,0.52069,0.979,0.000144161,0.000144161,0.000144161
154,3276.73,0.89382,0.6465,1.02643,0.92687,0.88566,0.95533,0.7655,0.76356,0.51985,0.97886,0.000138883,0.000138883,0.000138883
155,3335.07,0.89826,0.65046,1.02868,0.9273,0.88457,0.95544,0.76597,0.7635,0.51984,0.97871,0.000133695,0.000133695,0.000133695
156,3408.82,0.90125,0.65223,1.02828,0.92846,0.88371,0.95565,0.76624,0.76319,0.51957,0.97852,0.000128599,0.000128599,0.000128599
157,3482.7,0.89698,0.64647,1.028,0.92858,0.88343,0.95568,0.76635,0.76288,0.51929,0.97827,0.000123596,0.000123596,0.000123596
158,3557.06,0.89078,0.64065,1.02479,0.92756,0.88301,0.9558,0.76667,0.76261,0.51867,0.9782,0.000118687,0.000118687,0.000118687
159,3629.78,0.90384,0.65267,1.02933,0.92805,0.88266,0.95581,0.76664,0.76239,0.51884,0.97807,0.000113873,0.000113873,0.000113873
160,3695.45,0.88979,0.64407,1.02586,0.92789,0.88332,0.95601,0.76696,0.76219,0.51864,0.97793,0.000109156,0.000109156,0.000109156
161,3741.25,0.88922,0.64172,1.0233,0.92771,0.88332,0.9559,0.76664,0.76227,0.5185,0.97792,0.000104537,0.000104537,0.000104537
162,3805.42,0.89331,0.64624,1.02656,0.92794,0.88401,0.9561,0.76676,0.76191,0.51802,0.97771,0.000100016,0.000100016,0.000100016
163,3879.45,0.88716,0.63743,1.02157,0.92809,0.88459,0.95647,0.76715,0.76184,0.51778,0.97762,9.55951e-05,9.55951e-05,9.55951e-05
164,3953.22,0.88209,0.63606,1.01953,0.92813,0.88437,0.9564,0.7673,0.76134,0.51741,0.97743,9.12754e-05,9.12754e-05,9.12754e-05
165,4027.19,0.88721,0.63959,1.02278,0.92817,0.88483,0.95638,0.76769,0.76089,0.51702,0.97727,8.70577e-05,8.70577e-05,8.70577e-05
166,4099.64,0.8936,0.64394,1.02488,0.92836,0.88459,0.9565,0.76751,0.76059,0.51692,0.97724,8.29431e-05,8.29431e-05,8.29431e-05
166,75.0436,0.8833,0.64014,1.02167,0.92819,0.88476,0.95643,0.76764,0.76083,0.51691,0.97724,8.29431e-05,8.29431e-05,8.29431e-05
167,148.638,0.87788,0.63049,1.01826,0.92732,0.88459,0.95649,0.76749,0.76097,0.51696,0.97726,7.89327e-05,7.89327e-05,7.89327e-05
168,220.659,0.8869,0.64182,1.02545,0.92808,0.88441,0.95639,0.76732,0.76083,0.51698,0.97725,7.50274e-05,7.50274e-05,7.50274e-05
169,294.143,0.87956,0.63374,1.01797,0.92834,0.88406,0.95643,0.76778,0.76045,0.51681,0.97721,7.12282e-05,7.12282e-05,7.12282e-05
170,339.637,0.88432,0.64165,1.02303,0.92851,0.88406,0.95629,0.76745,0.76055,0.51656,0.9772,6.7536e-05,6.7536e-05,6.7536e-05
171,397.227,0.88329,0.63946,1.021,0.92884,0.88243,0.9563,0.76754,0.76027,0.51663,0.97724,6.39518e-05,6.39518e-05,6.39518e-05
172,470.732,0.87957,0.63419,1.01818,0.92952,0.88234,0.95625,0.76785,0.76016,0.51648,0.97713,6.04763e-05,6.04763e-05,6.04763e-05
173,545.424,0.88136,0.63935,1.02267,0.93067,0.88214,0.95631,0.76784,0.75993,0.51644,0.97697,5.71106e-05,5.71106e-05,5.71106e-05
174,619.081,0.87889,0.63989,1.02056,0.93065,0.88129,0.95631,0.76785,0.76013,0.51651,0.97701,5.38554e-05,5.38554e-05,5.38554e-05
175,692.771,0.87423,0.63134,1.0178,0.92949,0.88266,0.95632,0.768,0.7598,0.51635,0.97687,5.07115e-05,5.07115e-05,5.07115e-05
176,758.649,0.87929,0.63435,1.01917,0.93048,0.88137,0.95639,0.76819,0.7598,0.51623,0.97689,4.76796e-05,4.76796e-05,4.76796e-05
177,804.962,0.88309,0.63447,1.01997,0.93029,0.88161,0.95645,0.76815,0.75965,0.5162,0.97675,4.47606e-05,4.47606e-05,4.47606e-05
